toi,tid,tfopwg_disp
101.01,231663901,KP
102.01,149603524,KP
103.01,336732616,KP
104.01,231670397,KP
1049.01,16288184,KP
105.01,144065872,KP
1050.01,66818296,KP
1052.01,317060587,CP
1054.01,366989877,CP
1055.01,320004517,CP
106.01,38846515,KP
1062.01,299799658,CP
1064.01,79748331,CP
1064.02,79748331,CP
1065.01,7088246,KP
1066.01,201604954,KP
1067.01,201642601,KP
1068.01,6663331,KP
1069.01,31858843,KP
107.01,92352620,KP
1071.01,120247528,KP
1073.01,158297421,CP
1075.01,351601843,CP
1076.01,360742636,KP
1078.01,370133522,CP
108.01,289793076,KP
1084.01,380589029,KP
109.01,29344935,KP
1097.01,360630575,CP
1097.02,360630575,CP
1098.01,383390264,CP
1099.01,290348383,CP
110.01,281459670,KP
1107.01,394561119,CP
111.01,355703913,KP
112.01,388104525,KP
113.01,97409519,KP
1130.01,254113311,CP
1130.02,254113311,CP
1135.01,154872375,CP
1136.01,142276270,CP
1136.02,142276270,CP
1136.03,142276270,CP
1136.04,142276270,CP
114.01,25155310,KP
1144.01,28230919,KP
1148.01,349827430,KP
115.01,281541555,KP
1150.01,16740101,KP
1151.01,69679391,KP
116.01,238176110,KP
1161.01,158324245,KP
1165.01,458478250,KP
117.01,322307342,KP
1173.01,232967440,CP
118.01,266980320,CP
1181.01,229510866,CP
1198.01,203189770,KP
1199.01,99869022,CP
120.01,394137592,CP
1201.01,29960110,CP
1203.01,23434737,CP
122.01,231702397,CP
1221.01,349095149,CP
1227.01,360156606,CP
1228.01,300038935,CP
123.01,290131778,CP
1230.01,287156968,CP
1231.01,447061717,CP
1233.01,260647166,CP
1233.02,260647166,CP
1233.03,260647166,CP
1233.04,260647166,CP
1235.01,103633434,CP
1236.01,120757718,KP
1237.01,120960812,KP
1237.02,120960812,KP
1239.01,154716798,CP
1240.01,158170594,KP
1246.01,230127302,CP
1246.02,230127302,CP
1246.03,230127302,CP
1246.04,230127302,CP
125.01,52368076,CP
125.02,52368076,CP
125.03,52368076,CP
1255.01,237222864,CP
1257.01,278348461,KP
1259.01,288735205,CP
126.01,70440470,KP
1260.01,355867695,CP
1260.02,355867695,CP
1260.03,355867695,CP
1265.01,424865156,KP
1266.01,467179528,CP
1266.02,467179528,CP
1267.01,158561566,KP
1268.01,142394656,CP
127.01,234523599,CP
1271.01,286923464,KP
1272.01,417948359,CP
1273.01,445859771,CP
1278.01,163539739,CP
1282.01,236445129,KP
1283.01,266593143,KP
1288.01,365733349,CP
129.01,201248411,CP
1290.01,417676622,KP
1294.01,219015370,CP
1296.01,219854185,CP
1298.01,237104103,CP
130.01,263003176,CP
1300.01,293687315,KP
132.01,89020549,CP
1333.01,395171208,CP
1337.01,160708862,KP
1338.01,260128333,CP
1339.01,269701147,CP
1339.02,269701147,CP
1339.03,269701147,CP
134.01,234994474,CP
135.01,267263253,CP
136.01,410153553,CP
1373.01,176899385,KP
1386.01,343019899,CP
1388.01,346338552,KP
139.01,62483237,CP
1406.01,231736113,CP
1407.01,69747919,KP
1408.01,364186197,CP
1408.02,364186197,KP
141.01,403224672,CP
1411.01,116483514,CP
1416.01,158025009,CP
1417.01,164173105,CP
1419.01,311035838,KP
1422.01,333473672,CP
143.01,25375553,KP
1430.01,293954617,CP
1431.01,375506058,CP
1439.01,232982558,CP
144.01,261136679,CP
1442.01,235683377,CP
1444.01,258514800,CP
1452.01,420112589,CP
1453.01,198390247,CP
1453.02,198390247,CP
1454.01,294179385,CP
1456.01,199376584,CP
1458.01,191284318,KP
1462.01,188768068,CP
1463.01,190998418,KP
1465.01,236887394,KP
1468.01,243185500,CP
1468.02,243185500,CP
1469.01,283722336,KP
1469.02,283722336,KP
1470.01,284441182,CP
1471.01,306263608,CP
1471.02,306263608,CP
1476.01,432549364,KP
1477.01,240681314,KP
1478.01,409794137,CP
148.01,393940766,CP
1493.01,15692883,CP
1494.01,411608801,CP
150.01,271893367,CP
1516.01,376637093,CP
1518.01,427761355,CP
1554.01,299158887,KP
157.01,140691463,CP
1573.01,302773669,KP
1580.01,354469661,KP
1599.01,129979528,KP
1601.01,139375960,CP
1603.01,73448352,KP
1605.01,101037590,CP
1611.01,264678534,CP
1612.01,268403451,KP
1626.01,157586003,KP
1627.01,424435940,KP
1628.01,284475976,KP
1629.01,310003988,KP
163.01,179317684,CP
1634.01,201186294,CP
1640.01,396562848,CP
1651.01,138168780,KP
1670.01,441739020,CP
1670.02,441739020,CP
1676.01,8400842,KP
1680.01,259168516,CP
1682.01,367366318,KP
1685.01,28900646,CP
169.01,183120439,CP
1690.01,267574918,CP
1693.01,353475866,CP
1694.01,396740648,CP
1695.01,422756130,CP
1696.01,470381900,CP
1710.01,445805961,CP
1714.01,239154970,KP
172.01,29857954,CP
1720.01,356473034,KP
1721.01,51234631,KP
1725.01,86396382,KP
1726.01,130181866,CP
1726.02,130181866,CP
1728.01,285048486,CP
1731.01,371234684,KP
1736.01,408618999,CP
174.01,425997655,CP
174.02,425997655,CP
174.03,425997655,CP
174.04,425997655,CP
174.05,425997655,CP
1749.01,233602827,CP
1749.02,233602827,CP
1749.03,233602827,KP
175.01,307210830,CP
175.02,307210830,CP
175.03,307210830,CP
1751.01,287080092,CP
1759.01,408636441,CP
1766.01,67666096,KP
1767.01,8767448,KP
177.01,262530407,CP
1771.01,252479260,KP
1773.01,332064670,KP
1774.01,4897275,CP
1779.01,67646988,KP
178.01,251848941,CP
178.02,251848941,CP
178.03,251848941,CP
178.04,251848941,KP
1780.01,99834717,KP
1781.01,137881699,KP
1789.01,172518755,CP
179.01,207141131,CP
1793.01,304142124,CP
1796.01,138819293,KP
1797.01,368435330,CP
1797.02,368435330,CP
1800.01,17993892,KP
1801.01,119584412,CP
1807.01,180695581,CP
1809.01,347329162,KP
181.01,76923707,CP
1810.01,373693175,KP
